User,Side,Choice,Speed_set,Status,Gender
Gianluca,B,7,2,0,M
Hang,W,1,5,0,M
Gian,W,7,3,0,M
Hang,B,0,1,0,M
Group8,W,8,4,1,F
JUL,W,4,1,0,M
JUL,W,7,3,0,F
AL,B,4,1,0,F
AL,W,7,2,0,F
GV,B,0,4,0,M
gv,B,9,5,1,M
Davide,W,5,5,0,M
Davide,B,0,2,0,M
Jj,W,2,1,0,M
jJ,B,2,2,0,M
JJ,B,8,3,1,M
JJ,B,0,4,0,M
JJ,B,6,5,0,M
Wiola,W,7,3,0,F
ME,W,6,5,0,M
CANDY,W,4,1,0,F
MIKE,W,7,3,0,M
VALE,W,8,4,1,F
BOTTIGLIETTA,W,7,3,0,M
Karen,B,10,1,0,F
ALBI,W,8,4,1,M
JOONA,B,8,3,1,M
Julia,W,8,2,1,F
Name,B,4,1,0,M
T,B,0,2,0,M
T,W,8,2,1,M
Armando,W,2,3,0,M
Armando,W,6,5,0,M
Armando,W,6,2,1,M
G,W,8,3,1,M
MARCO,B,9,5,1,M
Wiola,B,10,1,0,F
W,B,0,2,0,F
W,W,8,3,1,F
Davide,W,6,1,1,M
Davide,B,8,3,1,M
BODZIA,W,7,3,0,F
BODZIA,W,6,1,1,F
BODZIA,B,9,4,0,F
OSCAR,B,7,2,0,M
PIOTR,B,4,1,0,M
PIOTR,W,8,4,1,M
PIOTR,W,9,5,1,M
roozy,W,8,2,1,M
ROOZY,W,7,3,0,M
NINA,W,1,5,0,F
sara,W,6,1,1,F
dome,W,2,3,0,M
DOME,W,6,5,0,M
Yaroslava,B,2,2,0,F
al,B,10,4,0,F
al,B,9,2,0,F
mariana,W,7,3,0,F
mariana,B,4,1,0,F
mariana,W,8,4,1,F
sai,B,1,4,0,M
mal,W,2,3,0,F
mal,W,1,5,0,F
al,B,1,3,0,F
al,B,8,3,1,F
BEA,W,1,5,0,F
BEA,B,9,2,0,F
Bea,B,10,1,0,F
BEA,W,7,3,0,F
Bea,W,8,4,1,F
Max,W,2,1,0,M
Max,B,1,5,0,M
Max,B,8,3,1,M
